USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   12589744   6268 0                   0 S init
root             2     0          0      0 0                   0 S [kthreadd]
root             3     2          0      0 0                   0 I [rcu_gp]
root             4     2          0      0 0                   0 I [slub_flushwq]
root             5     2          0      0 0                   0 I [netns]
root             9     2          0      0 0                   0 I [mm_percpu_wq]
root            11     2          0      0 0                   0 I [rcu_tasks_kthread]
root            12     2          0      0 0                   0 I [rcu_tasks_trace_kthread]
root            13     2          0      0 0                   0 S [ksoftirqd/0]
root            14     2          0      0 0                   0 I [rcu_preempt]
root            15     2          0      0 0                   0 S [rcuog/0]
root            16     2          0      0 0                   0 S [rcuop/0]
root            17     2          0      0 0                   0 S [rcub/0]
root            18     2          0      0 0                   0 S [rcu_exp_gp_kthread_worker]
root            19     2          0      0 0                   0 S [rcu_exp_par_gp_kthread_worker]
root            20     2          0      0 0                   0 S [migration/0]
root            21     2          0      0 0                   0 S [idle_inject/0]
root            22     2          0      0 0                   0 S [cpuhp/0]
root            23     2          0      0 0                   0 S [cpuhp/1]
root            24     2          0      0 0                   0 S [idle_inject/1]
root            25     2          0      0 0                   0 S [migration/1]
root            26     2          0      0 0                   0 S [ksoftirqd/1]
root            29     2          0      0 0                   0 S [rcuop/1]
root            30     2          0      0 0                   0 S [cpuhp/2]
root            31     2          0      0 0                   0 S [idle_inject/2]
root            32     2          0      0 0                   0 S [migration/2]
root            33     2          0      0 0                   0 S [ksoftirqd/2]
root            36     2          0      0 0                   0 S [rcuop/2]
root            37     2          0      0 0                   0 S [cpuhp/3]
root            38     2          0      0 0                   0 S [idle_inject/3]
root            39     2          0      0 0                   0 S [migration/3]
root            40     2          0      0 0                   0 S [ksoftirqd/3]
root            43     2          0      0 0                   0 S [rcuop/3]
root            44     2          0      0 0                   0 S [cpuhp/4]
root            45     2          0      0 0                   0 S [idle_inject/4]
root            46     2          0      0 0                   0 S [migration/4]
root            47     2          0      0 0                   0 S [ksoftirqd/4]
root            50     2          0      0 0                   0 S [rcuog/4]
root            51     2          0      0 0                   0 S [rcuop/4]
root            52     2          0      0 0                   0 S [cpuhp/5]
root            53     2          0      0 0                   0 S [idle_inject/5]
root            54     2          0      0 0                   0 S [migration/5]
root            55     2          0      0 0                   0 S [ksoftirqd/5]
root            58     2          0      0 0                   0 S [rcuop/5]
root            59     2          0      0 0                   0 S [cpuhp/6]
root            60     2          0      0 0                   0 S [idle_inject/6]
root            61     2          0      0 0                   0 S [migration/6]
root            62     2          0      0 0                   0 S [ksoftirqd/6]
root            64     2          0      0 0                   0 I [kworker/6:0H-kverityd]
root            65     2          0      0 0                   0 S [rcuop/6]
root            66     2          0      0 0                   0 S [cpuhp/7]
root            67     2          0      0 0                   0 S [idle_inject/7]
root            68     2          0      0 0                   0 S [migration/7]
root            69     2          0      0 0                   0 S [ksoftirqd/7]
root            72     2          0      0 0                   0 S [rcuop/7]
root            73     2          0      0 0                   0 I [inet_frag_wq]
root            74     2          0      0 0                   0 S [kauditd]
root            76     2          0      0 0                   0 S [khungtaskd]
root            77     2          0      0 0                   0 S [oom_reaper]
root            78     2          0      0 0                   0 I [writeback]
root            79     2          0      0 0                   0 S [kcompactd0]
root            81     2          0      0 0                   0 I [kblockd]
root            82     2          0      0 0                   0 I [blkcg_punt_bio]
root            83     2          0      0 0                   0 I [edac-poller]
root            84     2          0      0 0                   0 I [devfreq_wq]
root            85     2          0      0 0                   0 S [watchdogd]
root            87     2          0      0 0                   0 I [quota_release_w]
root            91     2          0      0 0                   0 S [kswapd0]
root            92     2          0      0 0                   0 S [khppd]
root            94     2          0      0 0                   0 S [erofs_worker/0]
root            95     2          0      0 0                   0 S [erofs_worker/1]
root            96     2          0      0 0                   0 S [erofs_worker/2]
root            97     2          0      0 0                   0 S [erofs_worker/3]
root            98     2          0      0 0                   0 S [erofs_worker/4]
root            99     2          0      0 0                   0 S [erofs_worker/5]
root           100     2          0      0 0                   0 S [erofs_worker/6]
root           101     2          0      0 0                   0 S [erofs_worker/7]
root           104     2          0      0 0                   0 I [bioset]
root           105     2          0      0 0                   0 I [kthrotld]
root           108     2          0      0 0                   0 S [dmabuf-deferred-free-worker]
root           109     2          0      0 0                   0 I [nvme-wq]
root           110     2          0      0 0                   0 I [nvme-reset-wq]
root           111     2          0      0 0                   0 I [nvme-delete-wq]
root           112     2          0      0 0                   0 I [uas]
root           113     2          0      0 0                   0 I [dm_bufio_cache]
root           114     2          0      0 0                   0 S [hwrng]
root           115     2          0      0 0                   0 S [irq/16-gh_msgq_rx]
root           116     2          0      0 0                   0 I [mld]
root           117     2          0      0 0                   0 I [ipv6_addrconf]
root           119     2          0      0 0                   0 I [five_wq]
root           136     2          0      0 0                   0 S [qcom,system-pool-refill-thread]
root           137     2          0      0 0                   0 S [rbin]
root           138     2          0      0 0                   0 S [rbin_shrink]
root           139     2          0      0 0                   0 S [mem_buf_trusted_vm_rcvr]
root           144     2          0      0 0                   0 S [irq/31-dcvsh-irq-0]
root           145     2          0      0 0                   0 S [irq/32-dcvsh-irq-2]
root           146     2          0      0 0                   0 S [irq/34-dcvsh-irq-5]
root           147     2          0      0 0                   0 S [irq/35-dcvsh-irq-7]
root           148     2          0      0 0                   0 S [halt_drain_rqs]
root           150     2          0      0 0                   0 S [core_ctl]
root           152     2          0      0 0                   0 S [irq/39-c228000.tsens0]
root           153     2          0      0 0                   0 S [irq/40-c228000.tsens0]
root           154     2          0      0 0                   0 S [irq/41-c229000.tsens1]
root           155     2          0      0 0                   0 S [irq/42-c229000.tsens1]
root           156     2          0      0 0                   0 S [irq/43-c22a000.tsens2]
root           157     2          0      0 0                   0 S [irq/44-c22a000.tsens2]
root           166     2          0      0 0                   0 S [irq/45-bcl-lvl0]
root           174     2          0      0 0                   0 S [irq/46-bcl-lvl1]
root           175     2          0      0 0                   0 S [irq/47-bcl-lvl2]
root           176     2          0      0 0                   0 I [sec_abc_wq]
root           178     2          0      0 0                   0 S [irq/51-qcom,qmp-tme]
root           179     2          0      0 0                   0 S [gh-watchdog]
root           183     2          0      0 0                   0 S [irq/80-arm-smmu-context-fault]
root           188     2          0      0 0                   0 S [irq/81-arm-smmu-context-fault]
root           201     2          0      0 0                   0 S [irq/82-arm-smmu-context-fault]
root           203     2          0      0 0                   0 S [scsi_eh_0]
root           206     2          0      0 0                   0 I [scsi_tmf_0]
root           208     2          0      0 0                   0 I [qc_ufs_qos_swq]
root           209     2          0      0 0                   0 I [ufs_eh_wq_0]
root           210     2          0      0 0                   0 I [ufs_clk_gating_]
root           211     2          0      0 0                   0 S [qrtr_ns]
root           216     2          0      0 0                   0 S [f2fs_ckpt-259:9]
root           217     2          0      0 0                   0 S [f2fs_discard-259:9]
root           218     2          0      0 0                   0 S [f2fs_gc-259:9]
root           219     2          0      0 0                   0 I [kdmflush/254:0]
root           220     2          0      0 0                   0 I [kdmflush/254:1]
root           221     2          0      0 0                   0 I [kdmflush/254:2]
root           222     2          0      0 0                   0 I [kdmflush/254:3]
root           223     2          0      0 0                   0 I [kdmflush/254:4]
root           224     2          0      0 0                   0 I [kdmflush/254:5]
root           225     2          0      0 0                   0 I [kdmflush/254:6]
root           226     2          0      0 0                   0 I [kdmflush/254:7]
root           227     2          0      0 0                   0 I [kverityd]
root           228     2          0      0 0                   0 I [kdmflush/254:8]
root           229     2          0      0 0                   0 I [kverityd]
root           230     2          0      0 0                   0 I [kdmflush/254:9]
root           231     2          0      0 0                   0 I [kverityd]
root           232     2          0      0 0                   0 I [kdmflush/254:10]
root           233     2          0      0 0                   0 I [kverityd]
root           234     2          0      0 0                   0 I [kdmflush/254:11]
root           235     2          0      0 0                   0 I [kverityd]
root           236     2          0      0 0                   0 I [kdmflush/254:12]
root           237     2          0      0 0                   0 I [kverityd]
